file_id,bucket,genus,comps,faces,verts,closed,vertex_manifold,edge_manifold,oriented,self_intersections,boundary_edges,solid,euler,stl_kind,stl_tris,bytes,category,subcategory,name,tags,license,thing_id
362964,genus0_solid,0,1,3514,1759,True,True,True,True,9,0,False,2,ascii,3514,657205,tools,parts,NUT JOB | Nut; Bolt; Washer and Threaded Rod Factory ,bolt;button;button_cap;cap;countersunk;customizer;factory;fastener;joiner;model;nut;openscad;parametric;phillips;phillips_head;quadcopter;r;rod;screw;screw_library;screws;slot;socket;socket_cap;thread;threaded;threaded_rod;washer;wing_nut;wingnut,Creative Commons - Attribution - Share Alike,193647
370212,genus0_solid,0,1,3908,1956,True,True,True,True,15,0,False,2,ascii,3908,749278,tools,parts,NUT JOB | Nut; Bolt; Washer and Threaded Rod Factory ,bolt;button;button_cap;cap;countersunk;customizer;factory;fastener;joiner;model;nut;openscad;parametric;phillips;phillips_head;quadcopter;r;rod;screw;screw_library;screws;slot;socket;socket_cap;thread;threaded;threaded_rod;washer;wing_nut;wingnut,Creative Commons - Attribution - Share Alike,193647
370217,genus0_solid,0,1,4008,2006,True,True,True,True,35,0,False,2,ascii,4008,768868,tools,parts,NUT JOB | Nut; Bolt; Washer and Threaded Rod Factory ,bolt;button;button_cap;cap;countersunk;customizer;factory;fastener;joiner;model;nut;openscad;parametric;phillips;phillips_head;quadcopter;r;rod;screw;screw_library;screws;slot;socket;socket_cap;thread;threaded;threaded_rod;washer;wing_nut;wingnut,Creative Commons - Attribution - Share Alike,193647
370988,genus0_solid,0,1,4008,2006,True,True,True,True,20,0,False,2,ascii,4008,770101,tools,parts,NUT JOB | Nut; Bolt; Washer and Threaded Rod Factory ,bolt;button;button_cap;cap;countersunk;customizer;factory;fastener;joiner;model;nut;openscad;parametric;phillips;phillips_head;quadcopter;r;rod;screw;screw_library;screws;slot;socket;socket_cap;thread;threaded;threaded_rod;washer;wing_nut;wingnut,Creative Commons - Attribution - Share Alike,193647
371103,genus0_solid,0,1,4106,2055,True,True,True,True,15,0,False,2,ascii,4106,781717,tools,parts,NUT JOB | Nut; Bolt; Washer and Threaded Rod Factory ,bolt;button;button_cap;cap;countersunk;customizer;factory;fastener;joiner;model;nut;openscad;parametric;phillips;phillips_head;quadcopter;r;rod;screw;screw_library;screws;slot;socket;socket_cap;thread;threaded;threaded_rod;washer;wing_nut;wingnut,Creative Commons - Attribution - Share Alike,193647
69264,genus0_solid,0,1,694,349,True,True,True,True,0,0,True,2,ascii,694,142674,hobby,sports-and-outdoors,Bike Stand Tool & Parts Tray  // Park & Spin Doctor ,bicycle;bike;clip;doctor;doctors;holder;park;spin;stand;tool;tray;wrench,Creative Commons - Attribution,22569
1349593,genus0_solid,0,1,1174,589,True,True,True,True,0,0,True,2,binary,1174,58784,tools,,PCB Workstation with Articulated Arms ,arms;articulated;ball_and_socket;electronics;grabber;hook;pcb_holder;printed_circuit_board;terminals;test_clip;third_hand,Creative Commons - Attribution - Non-Commercial,801279
1036309,genus0_solid,0,1,1922,963,True,True,True,True,0,0,True,2,ascii,1922,383714,toys-and-games,mechanical-toys,Toyota 4 Cylinder Engine 22RE Complete working model ,22_re;22re;4runner;auto;automobile;automotive;awesome;cool;crankshaft;cylinder;cylinders;educational;engine;fan;gear;gears;model;motor;pickup;piston;pistons;rotating;rotational;scale;scaled;toyota;valve;valves,Creative Commons - Attribution - Non-Commercial,644933
1036396,genus0_solid,0,1,1926,965,True,True,True,True,0,0,True,2,ascii,1926,384846,toys-and-games,mechanical-toys,Toyota 4 Cylinder Engine 22RE Complete working model ,22_re;22re;4runner;auto;automobile;automotive;awesome;cool;crankshaft;cylinder;cylinders;educational;engine;fan;gear;gears;model;motor;pickup;piston;pistons;rotating;rotational;scale;scaled;toyota;valve;valves,Creative Commons - Attribution - Non-Commercial,644933
1036464,genus0_solid,0,1,7068,3536,True,True,True,True,0,0,True,2,ascii,7068,1420346,toys-and-games,mechanical-toys,Toyota 4 Cylinder Engine 22RE Complete working model ,22_re;22re;4runner;auto;automobile;automotive;awesome;cool;crankshaft;cylinder;cylinders;educational;engine;fan;gear;gears;model;motor;pickup;piston;pistons;rotating;rotational;scale;scaled;toyota;valve;valves,Creative Commons - Attribution - Non-Commercial,644933
1036466,genus0_solid,0,1,13532,6768,True,True,True,True,0,0,True,2,ascii,13532,2734003,toys-and-games,mechanical-toys,Toyota 4 Cylinder Engine 22RE Complete working model ,22_re;22re;4runner;auto;automobile;automotive;awesome;cool;crankshaft;cylinder;cylinders;educational;engine;fan;gear;gears;model;motor;pickup;piston;pistons;rotating;rotational;scale;scaled;toyota;valve;valves,Creative Commons - Attribution - Non-Commercial,644933
1036467,genus0_solid,0,1,17332,8668,True,True,True,True,0,0,True,2,ascii,17332,3642085,toys-and-games,mechanical-toys,Toyota 4 Cylinder Engine 22RE Complete working model ,22_re;22re;4runner;auto;automobile;automotive;awesome;cool;crankshaft;cylinder;cylinders;educational;engine;fan;gear;gears;model;motor;pickup;piston;pistons;rotating;rotational;scale;scaled;toyota;valve;valves,Creative Commons - Attribution - Non-Commercial,644933
40585,genus0_solid,0,1,2058,1031,True,True,True,True,0,0,True,2,ascii,2058,577387,None,None,Thumb Roller Hook for Dial Caliper ,caliper;cnc;featured;tool,Creative Commons - Attribution,12556
40584,genus0_solid,0,1,7208,3606,True,True,True,True,0,0,True,2,ascii,7208,2000217,None,None,Thumb Roller Hook for Dial Caliper ,caliper;cnc;featured;tool,Creative Commons - Attribution,12556
1185140,genus1,1,1,800,400,True,True,True,True,0,0,True,0,ascii,800,129440,tools,parts,NUT JOB | Nut; Bolt; Washer and Threaded Rod Factory ,bolt;button;button_cap;cap;countersunk;customizer;factory;fastener;joiner;model;nut;openscad;parametric;phillips;phillips_head;quadcopter;r;rod;screw;screw_library;screws;slot;socket;socket_cap;thread;threaded;threaded_rod;washer;wing_nut;wingnut,Creative Commons - Attribution - Share Alike,193647
370993,genus1,1,1,3910,1955,True,True,True,True,6,0,False,0,ascii,3910,753020,tools,parts,NUT JOB | Nut; Bolt; Washer and Threaded Rod Factory ,bolt;button;button_cap;cap;countersunk;customizer;factory;fastener;joiner;model;nut;openscad;parametric;phillips;phillips_head;quadcopter;r;rod;screw;screw_library;screws;slot;socket;socket_cap;thread;threaded;threaded_rod;washer;wing_nut;wingnut,Creative Commons - Attribution - Share Alike,193647
